ID	County	City	Type
820156	71	53896	HV
820161	71	53896	HV
820177	71	53896	HV
820201	71	53896	HV
820202	71	53896	ML
820250	65	62000	HV
820288	65	62000	HV
820355	65	62000	HV
820356	65	62000	ML
820363	65	62000	HV
820364	65	62000	ML
820369	65	62000	HV
820387	65	62000	HV
820470	65	62000	HV
820487	65	62000	HV
820489	65	62000	HV
820549	65	16350	ML
820559	65	16350	ML
820631	71	13210	HV
820634	71	13210	ML
820671	65	62000	HV
820672	65	62000	ML
820701	65	49270	ML
820706	65	49270	ML
820712	65	49270	ML
820713	65	49270	ML
820719	65	49270	ML
820720	65	49270	ML
820726	65	ML
820727	65	ML
820735	65	49270	HV
820736	65	49270	ML
820737	65	49270	HV
820738	65	49270	ML
820782	65	ML
820783	65	ML
820786	65	ML
820787	65	ML
820846	65	62000	ML
820849	71	59962	ML
820850	65	62000	HV
820851	65	62000	ML
820852	65	62000	HV
820853	65	62000	ML
820854	65	4758	ML
821111	65	62000	HV
821286	65	4758	ML
821287	65	4758	ML
821297	65	4758	ML
821298	65	4758	ML
821495	65	ML
821496	65	ML
821506	65	ML
821507	65	ML
821519	65	ML
821520	65	ML
821532	65	ML
821533	65	ML
821546	65	ML
821547	65	ML
821559	65	ML
821560	65	ML
821572	65	ML
821573	65	ML
821610	65	ML
821611	65	ML
821617	65	ML
821618	65	ML
821624	65	ML
821625	65	ML
821631	65	ML
821632	65	ML
821645	71	ML
821646	71	ML
821652	71	ML
821653	71	30000	ML
821659	71	ML
821660	71	ML
821666	71	ML
821667	71	ML
822175	71	59451	HV
822176	71	59451	ML
822288	65	62000	HV
822370	65	ML
822504	71	59962	ML
822589	65	62000	ML
822592	65	62000	HV
823030	65	16350	HV
823031	65	16350	ML
823132	65	ML
823180	65	ML
823190	65	ML
823191	65	ML
823210	65	ML
823211	65	ML
823242	71	65000	ML
823245	71	65000	ML
823285	71	65000	HV
823286	71	65000	ML
823289	71	65000	ML
823307	71	65000	HV
823308	71	65000	ML
823309	71	65000	ML
823327	71	44000	ML
823328	71	60466	ML
823337	71	65000	ML
823338	71	65000	ML
823346	71	65000	ML
823347	71	65000	ML
823428	65	HV
823430	65	HV
823433	65	HV
823434	65	HV
823438	65	HV
823439	65	HV
823442	65	HV
823443	65	HV
823447	65	HV
823448	65	HV
823451	65	HV
823452	65	HV
823456	65	HV
823457	65	HV
823464	65	HV
823465	65	HV
